央视,#genre#
CCTV1[720P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226338/index.m3u8
CCTV1[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226226/index.m3u8
CCTV1[1080P][8M],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226346/index.m3u8
CCTV1[1080P][8M],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226431/index.m3u8
CCTV2[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226230/index.m3u8
CCTV2[1080P][8M],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226371/index.m3u8
CCTV2[1080P][8M],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226472/index.m3u8
CCTV3[1080P][8M],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226471/index.m3u8
CCTV4[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226335/index.m3u8
CCTV4[1080P][8M],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226470/index.m3u8
CCTV5[1080P][8M],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226469/index.m3u8
CCTV5+[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226225/index.m3u8
CCTV5+[1080P][8M],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226349/index.m3u8
CCTV5+[1080P][8M],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226458/index.m3u8
CCTV6[1080P][8M],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226468/index.m3u8
CCTV7[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226234/index.m3u8
CCTV7[1080P][8M],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226467/index.m3u8
CCTV8[1080P][8M],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226485/index.m3u8
CCTV9[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226236/index.m3u8
CCTV9[1080P][8M],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226465/index.m3u8
CCTV10[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226227/index.m3u8
CCTV10[1080P][8M],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226464/index.m3u8
CCTV11[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226334/index.m3u8
CCTV11[1080P][8M],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226463/index.m3u8
CCTV12[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226228/index.m3u8
CCTV12[1080P][8M],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226462/index.m3u8
CCTV13[720P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226339/index.m3u8
CCTV13[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226316/index.m3u8
CCTV14[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226229/index.m3u8
CCTV14[1080P][8M],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226461/index.m3u8
CCTV15[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226333/index.m3u8
CCTV15[1080P][8M],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226460/index.m3u8
CCTV17[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226318/index.m3u8
CCTV17[1080P][8M],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226459/index.m3u8
CETV1[1080P][8M],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226494/index.m3u8
NewTV中国功夫[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226321/index.m3u8
NewTV军事评论[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226326/index.m3u8
NewTV军旅剧场[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226324/index.m3u8
NewTV农业致富[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226304/index.m3u8
NewTV动作电影[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226329/index.m3u8
NewTV古装剧场[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226323/index.m3u8
NewTV家庭剧场[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226330/index.m3u8
NewTV怡伴健康[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226327/index.m3u8
NewTV惊悚悬疑[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226423/index.m3u8
NewTV武搏世界[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226320/index.m3u8
NewTV潮妈辣婆[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226286/index.m3u8
NewTV炫舞未来[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226248/index.m3u8
NewTV爱情喜剧[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226322/index.m3u8
NewTV精品体育[720P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226328/index.m3u8
NewTV精品大剧[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226331/index.m3u8
NewTV精品纪录[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226332/index.m3u8
NewTV超级体育[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226232/index.m3u8
NewTV超级体育[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226348/index.m3u8
NewTV超级电影[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226233/index.m3u8
NewTV超级电影[1080P][8M],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226369/index.m3u8
NewTV超级电视剧[1080P],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226253/index.m3u8
NewTV超级电视剧[1080P][8M],http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226368/index.m3u8
